season_id,player_id,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,video_available,team_id,team_abbreviation,team_name,player_name
22024,1628983,0022401153,"Apr 08, 2025",OKC vs. LAL,W,37,14,26,0.538,5,9,0.556,9,11,0.818,1,5,6,6,0,1,1,5,42,7,1,1610612760,OKC,Oklahoma City Thunder,Shai Gilgeous-Alexander
22024,1629652,0022401153,"Apr 08, 2025",OKC vs. LAL,W,31,6,11,0.545,5,8,0.625,0,2,0.0,1,2,3,2,2,0,0,3,17,8,1,1610612760,OKC,Oklahoma City Thunder,Luguentz Dort
22024,1631119,0022401196,"Apr 13, 2025",OKC @ NOP,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,9,1,1610612760,OKC,Oklahoma City Thunder,Jaylin Williams
22024,1641794,0022401196,"Apr 13, 2025",OKC @ NOP,W,36,5,7,0.714,1,1,1.0,2,2,1.0,1,9,10,1,1,0,3,5,13,11,1,1610612760,OKC,Oklahoma City Thunder,Dillon Jones
22024,1631096,0022401164,"Apr 09, 2025",OKC @ PHX,W,30,5,12,0.417,0,2,0.0,12,13,0.923,1,9,10,4,0,0,0,1,22,16,1,1610612760,OKC,Oklahoma City Thunder,Chet Holmgren
22024,1630198,0022401196,"Apr 13, 2025",OKC @ NOP,W,35,5,15,0.333,2,11,0.182,5,5,1.0,3,3,6,1,2,0,0,3,17,12,1,1610612760,OKC,Oklahoma City Thunder,Isaiah Joe
22024,1631172,0022400969,"Mar 15, 2025",OKC @ DET,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6,1,1610612760,OKC,Oklahoma City Thunder,Ousmane Dieng
22024,1627936,0022401164,"Apr 09, 2025",OKC @ PHX,W,27,6,8,0.75,2,4,0.5,5,6,0.833,0,5,5,3,5,0,0,3,19,23,1,1610612760,OKC,Oklahoma City Thunder,Alex Caruso
22024,1631114,0022401164,"Apr 09, 2025",OKC @ PHX,W,36,13,23,0.565,2,6,0.333,5,6,0.833,1,6,7,5,3,0,2,3,33,8,1,1610612760,OKC,Oklahoma City Thunder,Jalen Williams
22024,1641745,0022401196,"Apr 13, 2025",OKC @ NOP,W,22,1,7,0.143,0,5,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,5,1,1610612760,OKC,Oklahoma City Thunder,Adam Flagler
22024,1642382,0022401196,"Apr 13, 2025",OKC @ NOP,W,39,10,19,0.526,2,8,0.25,4,4,1.0,6,4,10,2,0,3,2,3,26,8,1,1610612760,OKC,Oklahoma City Thunder,Branden Carlson
22024,1630598,0022401196,"Apr 13, 2025",OKC @ NOP,W,37,8,18,0.444,2,6,0.333,10,10,1.0,2,5,7,7,2,0,1,4,28,21,1,1610612760,OKC,Oklahoma City Thunder,Aaron Wiggins
22024,1641717,0022401153,"Apr 08, 2025",OKC vs. LAL,W,27,5,8,0.625,1,2,0.5,0,1,0.0,0,2,2,1,2,0,0,2,11,15,1,1610612760,OKC,Oklahoma City Thunder,Cason Wallace
22024,1642349,0022401196,"Apr 13, 2025",OKC @ NOP,W,18,3,10,0.3,1,7,0.143,0,0,0.0,1,0,1,2,0,1,1,4,7,2,1,1610612760,OKC,Oklahoma City Thunder,Ajay Mitchell
22024,1629026,0022401196,"Apr 13, 2025",OKC @ NOP,W,37,8,18,0.444,0,7,0.0,1,4,0.25,2,10,12,2,3,0,3,1,17,3,1,1610612760,OKC,Oklahoma City Thunder,Kenrich Williams
22024,1642505,0022401196,"Apr 13, 2025",OKC @ NOP,W,15,1,3,0.333,1,2,0.5,2,2,1.0,2,3,5,1,0,0,0,4,5,4,1,1610612760,OKC,Oklahoma City Thunder,Alex Ducas
22024,1628392,0022401153,"Apr 08, 2025",OKC vs. LAL,W,29,4,7,0.571,0,0,0.0,0,0,0.0,6,9,15,4,1,2,1,3,8,18,1,1610612760,OKC,Oklahoma City Thunder,Isaiah Hartenstein
22024,1629614,0022401189,"Apr 13, 2025",IND @ CLE,W,14,1,8,0.125,1,3,0.333,0,0,0.0,0,0,0,4,0,0,2,1,3,-8,2,1610612754,IND,Indiana Pacers,Andrew Nembhard
22024,1630167,0022401189,"Apr 13, 2025",IND @ CLE,W,12,3,6,0.5,1,3,0.333,0,0,0.0,1,2,3,0,2,0,2,1,7,-6,2,1610612754,IND,Indiana Pacers,Obi Toppin
22024,1628418,0022401189,"Apr 13, 2025",IND @ CLE,W,18,3,6,0.5,1,4,0.25,0,0,0.0,1,2,3,0,0,0,0,0,7,-14,2,1610612754,IND,Indiana Pacers,Thomas Bryant
22024,1631097,0022401172,"Apr 11, 2025",IND vs. ORL,L,41,5,17,0.294,1,4,0.25,9,13,0.692,4,4,8,3,2,0,5,2,20,-8,1,1610612754,IND,Indiana Pacers,Bennedict Mathurin
22024,1630169,0022401168,"Apr 10, 2025",IND vs. CLE,W,36,8,16,0.5,4,11,0.364,3,4,0.75,1,7,8,10,0,3,2,1,23,15,1,1610612754,IND,Indiana Pacers,Tyrese Haliburton
22024,1641716,0022401189,"Apr 13, 2025",IND @ CLE,W,31,5,13,0.385,1,5,0.2,0,0,0.0,0,8,8,5,2,0,0,1,11,-17,2,1610612754,IND,Indiana Pacers,Jarace Walker
22024,1642402,0022401189,"Apr 13, 2025",IND @ CLE,W,31,2,8,0.25,0,3,0.0,4,4,1.0,2,6,8,1,1,1,1,1,8,29,2,1610612754,IND,Indiana Pacers,Enrique Freeman
22024,204456,0022401189,"Apr 13, 2025",IND @ CLE,W,19,4,8,0.5,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,1,8,-24,2,1610612754,IND,Indiana Pacers,T.J. McConnell
22024,1642484,0022401189,"Apr 13, 2025",IND @ CLE,W,29,5,14,0.357,3,9,0.333,0,0,0.0,0,5,5,6,3,2,0,3,13,35,2,1610612754,IND,Indiana Pacers,RayJ Dennis
